id,logement,canal,entree,sortie,nuits,adultes,enfants,statut,paiement,taxe_regle_2eur,taxe_sauvegarde_v1,concordance,total_v2_actuel,total_corrige,a_reverser
24655760,Ambassador,Direct,2025-11-17,2025-12-01,14,15,0,CONFIRMED,PAID,420,420,OUI,5830.69,6250.69,420
24655663,Villa Métis,Direct,2025-11-14,2025-12-06,22,4,0,CONFIRMED,PAID,176,176,OUI,3128,3304,176
24655753,Ambassador,Direct,2026-04-13,2026-04-21,8,10,4,CONFIRMED,PAID,160,160,OUI,4020,4180,160
24655666,Lodge,Website,2025-12-29,2026-01-03,5,9,3,CONFIRMED,UNPAID,90,90,OUI,1390.5,1480.5,0
24655738,Ambassador,Direct,2026-05-14,2026-05-17,3,14,0,CONFIRMED,PAID,84,84,OUI,1950,2034,84
24655736,Lodge,Direct,2025-11-21,2025-11-24,3,12,0,CONFIRMED,PAID,72,72,OUI,1013.55,1085.55,72
24655728,Ambassador,Website,2026-01-13,2026-01-16,3,11,4,CONFIRMED,UNPAID,66,66,OUI,1999.5,2065.5,0
24655662,Ambassador,Website,2025-10-11,2025-10-15,4,8,7,CONFIRMED,PARTIALLY_PAID,64,64,OUI,1618.4,1682.4,64
24655665,Ambassador,Direct,2026-05-05,2026-05-07,2,16,0,CONFIRMED,UNPAID,64,64,OUI,400,464,0
24655749,Ambassador,Direct,2025-10-03,2025-10-05,2,14,0,CANCELED_BY_TRAVELER,CANCELED,56,56,OUI,1110,1166,0
24655764,Lodge,Website,2025-10-13,2025-10-15,2,8,2,CANCELED_BY_TRAVELER,CANCELED,32,32,OUI,494.4,526.4,0
24655732,Lodge,Website,2025-09-26,2025-09-28,2,6,2,CONFIRMED,UNPAID,24,24,OUI,824,848,0
24655670,Villa Métis,Direct,2025-08-22,2025-08-24,2,6,2,CONFIRMED,PAID,24,24,OUI,466,490,24
24655711,Ambassador,Direct,2026-01-12,2026-01-13,1,12,3,CONFIRMED,PAID,24,24,OUI,390,414,24
24655771,Villa Métis,Direct,2026-06-26,2026-06-28,2,6,2,CONFIRMED,PAID,24,24,OUI,0,24,24
24655739,Ambassador,Direct,2026-01-22,2026-01-23,1,10,0,CONFIRMED,PAID,20,20,OUI,320,340,20
24655697,Villa Métis,Direct,2026-05-22,2026-05-25,3,3,0,CONFIRMED,CANCELED,18,18,OUI,735,753,0
24655689,Villa Métis,Direct,2025-05-30,2025-06-01,2,4,2,CONFIRMED,PAID,16,16,OUI,250,266,16
24655692,Ambassador,Direct,2026-03-22,2026-03-23,1,7,7,CONFIRMED,PAID,14,14,OUI,0,14,14
24655658,Lodge,Website,2025-10-25,2025-10-27,2,2,1,CONFIRMED,UNPAID,8,8,OUI,659.2,667.2,0
